model,mae,mse,rmse,r2,Rank
Random Forest,0.005715148328198725,0.0010037405289062284,0.031681864353384076,0.2016789116534652,1.0
LightGBM,0.006725610554797288,0.0011625282499755749,0.03409586851768957,0.07538772120180492,2.0
CatBoost,0.004740512753681638,0.0011752432178992426,0.03428182051611674,0.06527492139070745,3.0
Gradient Boosting,0.0063825260995190375,0.0011871252391275075,0.034454683848897924,0.05582460246312415,4.0
XGBoost,0.006023306812253076,0.0012434994594956277,0.035263287701171986,0.010987587654121223,5.0
MLP Regressor,0.007385631406469198,0.0012717155430040437,0.03566112088821723,-0.01145396357013917,6.0
