model,mae,mse,rmse,r2,Rank
LightGBM,0.0012859199581938053,0.00010824660902550197,0.010404163062231481,0.023375411970411708,1.0
MLP Regressor,0.0011584087628270672,0.00011088814859962859,0.010530344182391599,-0.0004571359640688222,2.0
Gradient Boosting,0.001416656600199898,0.0001164737318555125,0.010792299655565189,-0.05085149007171075,3.0
XGBoost,0.0014313988216155408,0.00011831600775496911,0.01087731620184727,-0.06747290627625668,4.0
Random Forest,0.0014937667371022643,0.00012838491332272612,0.011330706655929546,-0.15831677511008624,5.0
CatBoost,0.0012007799133331202,0.00018983590651881955,0.013778095170190238,-0.7127410795241382,6.0
