model,mae,mse,rmse,r2,Rank
LightGBM,0.025236230871684636,0.01129315703213462,0.10626926663967631,0.037716413553810835,1.0
CatBoost,0.024781695076622805,0.011414814507632641,0.10684013528460473,0.027350048195823873,2.0
Random Forest,0.024310649337503806,0.01147450125020208,0.10711909843815004,0.02226417428655514,3.0
XGBoost,0.02407825406088135,0.011657488244200192,0.10796984877362843,0.006671955002216734,4.0
Gradient Boosting,0.025078976842693463,0.011867062069886908,0.1089360457786444,-0.011185713321460344,5.0
MLP Regressor,0.03355022053004917,0.011961734985870734,0.10936971695067485,-0.019252739474820757,6.0
