model,mae,mse,rmse,r2,Rank
CatBoost,0.012466706854883327,0.0030775912806387507,0.05547604240245289,0.015290566972784525,1.0
LightGBM,0.012732157989489457,0.0031141031081293904,0.0558041495601303,0.003608203179619296,2.0
Random Forest,0.012172308173619223,0.00322332461490755,0.056774330598498034,-0.03133842819749377,3.0
Gradient Boosting,0.012621901614066263,0.0034498559781023647,0.058735474613749096,-0.1038196480455531,4.0
XGBoost,0.013861920249827986,0.0036105218177677504,0.06008761784068121,-0.1552264637845513,5.0
