model,mae,mse,rmse,r2,Rank
CatBoost,0.00946479293253603,0.010880930325746446,0.1043116979333883,0.0013671397511041405,1.0
Gradient Boosting,0.009589471587480995,0.010890512956021852,0.10435762049808271,0.0004876626113606841,2.0
Random Forest,0.009766902064273001,0.0109138101343267,0.104469182701535,-0.0016505118930059126,3.0
LightGBM,0.009542785225062607,0.010944814320933178,0.10461746661496434,-0.004496022214605544,4.0
XGBoost,0.015133316874069935,0.010996898678979959,0.1048660988069069,-0.009276234006552198,5.0
