model,mae,mse,rmse,r2,Rank
LightGBM,0.016805347584419872,0.006941682717931622,0.08331676132646793,0.0070172578618686865,1.0
CatBoost,0.016038126635751073,0.006990666910728167,0.08361020817297471,1.0245288550092546e-05,2.0
Random Forest,0.01704075398270497,0.0072491360073110665,0.08514185813870323,-0.03696282921107619,3.0
Gradient Boosting,0.017664801959214615,0.007405341955042005,0.086054296551898,-0.05930752812903095,4.0
XGBoost,0.020495985394870426,0.009203873382496543,0.0959368197434986,-0.3165809791385512,5.0
